fund_name,website,ebitda_min,ebitda_max,ticket_min,ticket_max,revenue_min,revenue_max,primary_sectors,secondary_sectors,business_model_preference,preferred_characteristics,avoid,geography,transaction_type,notes,last_update,source_status,source_file,sector_focus_original
Talde,https://www.talde.com/es,2,10,5,25,30,50,Industrial; Generalist with industrial focus; B2B; Aerospace; Healthcare selective; Agrifood selective,Debt opportunities; Family-owned companies; Tangible products,Mostly B2B; rarely B2C; family/founder businesses; management teams involved,Resilient through cycles; industrial angle; tangible product; can do majority or minority; family often retains ~25%; average entry multiple c. 6.5x-7.5x,Tech with high multiples; businesses with weak cycle resistance; overvalued veterinarians/dental; pure agro without PE logic,Spain; France add-on interest,Majority; Minority; Debt; Co-investment,Overview cites €5m EBITDA and €20m combined ticket; broader strategy notes €3-10m EBITDA and tickets €5-25m; latest note says they are looking at €2-6m EBITDA and can co-invest up to ~€18m.,2025-06-23,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,"Industrial, Services, Healthcare, logistics, ecommerce… Among many others"
Capza,https://capza.co/,0,12,3,15,,,Services; B2B Industry; Healthcare; Education,Food & Beverage selective; Software/value-added services; Fire protection/regulatory services; Premium food producers,B2B preferred; B2C possible if cash generative; equity and debt strategies,Cash generation; safe returns; EBITDA margin above 15%; recurring revenue; value-added healthcare; regulation-linked markets,Low margin; weak cash generation; too large EBITDA >€12m for core; retail/consumer unless differentiated; pure low-value commodity products,Spain; France; Europe,Equity; Debt,"Overview says EBITDA below €12m and ticket €3-15m. Later note mentions several strategies, including debt from €8m EBITDA and equity buckets around €5m, €5-20m and >€20m, but core CMI takeaway remains <€12m for targets.",2025-05-30,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,Automotive; Capital goods; Digital; Diversified financial services; Education; Energy; Food & Beverage; Healthcare; Household Products; Insurance; Leisure activities; Materials; Real Estate Services; Retailing; Services; Software; Tech services; Telecommunication Services; Transportation; Utilities
Riverside,https://www.riversidecompany.com/locations/madrid/,5,15,,,,,Food & Beverage; Software and Technology; Healthcare; Manufacturing and Distribution; Consumer ingredients,Ready-to-eat; Probiotics; Collagen; Ingredients; Fragrances; Cosmetic ingredients; Pet supplement/ingredients; Insect protein,Majority-oriented; needs ability to internationalize and scale; prefers proprietary software over tech services,Internationalization potential; scalable niche ingredients; differentiated food/cosmetic ingredients; market with add-on potential,Very local/regional businesses; healthcare difficult to internationalize; pet food saturation; plant protein VC-like; too large/expensive assets; pure services without clear scale,Spain; Italy; Portugal from Madrid office; Europe/US platform logic,Majority; Add-ons,No official EBITDA range in overview. Latest notes imply around €5m would be ideal in tech; €15m is more difficult and ~€20m EBITDA can be too large.,2026-03-03,Filled from meeting summary / inferred range,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,Business Services; Consumer brands; Education and training; franchisor; Healthcare; Software & IT; Special Manufacturing; Thematic investing
Corpfin Capital,http://www.corpfincapital.com/,5,15,50,150,,,Generalist; Healthcare/mental health; Industry; Fire protection; Doors; Services,Regulated European businesses; Fertilizers/agro selective; Pharma selective,Flexible generalist; likes active/complex deals; not overly public processes,Complexity; cash generation; leader/reputation; pricing power; regulatory exposure; off-market/bilateral opportunities,Public auction-heavy processes; commodity businesses with weak differentiation; overly large companies above range,Spain,Buyout; Majority likely,Overview and deal section both indicate €5-15m EBITDA and tickets €50-150m.,2025-05-26,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,Industry; Consumer Products; Beauty; Healthcare; Hotels; Education
GED Capital,http://www.gedcapital.com,,,,,,,Healthcare; Aeronautics; Consumer; Food & Beverage; Restaurants; Industry; Services,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Healthcare; Aeronautics; Consumer; Food & Beverage; Restaurants; Industry; Services
MCH Private Equity,https://mch.es/,7,,20,150,,,Agrifood; Healthcare; Pharma; Industry with technological angle,IT services viewed but not closed; Clinics selective; Radiotherapy; Supplements selective,Flexible investment structure; mid-market; EBITDA more important than revenue,Minimum €7m EBITDA; specialized sector where expert DD adds value; pharma/healthcare knowledge; agrifood experience,Overvalued veterinarians; dental without differentiation; low barriers; consumer products with no differentiation,Spain,Buyout; Flexible; Majority likely,Minimum ticket €20m; no stated upper limit and has invested up to €150m. Finishing 5th fund of €400m.,,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,Healthcare; Food & Beverage; Consumer; Technology; Industrial; Services; Education; Textile
Moira Capital Partners,https://moiracapitalpartners.com/,0,20,,,,,Healthcare; Foodtech; Circular economy; Traditional companies 4.0/digitalization,Water treatment; Innovative traditional sectors; Internationalizable B2B niches,B2B preferred; minority 15-20%; long-term capital; wants decision rights; flexible capital structure,Traditional sector with innovation; internationalization; long-term upside; potential x5 capital gain; break-even by next year at latest,B2C; pure R&D/venture; companies far from break-even; education without innovation; EBITDA above €20m,Spain; Internationalization potential required,Minority; Growth capital; Long-term capital,Not a traditional fund; no strict holding period; around 20 portfolio companies and average 3 deals/year.,2025-03-18,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,Healthcare; Foodtech; Circular Economy; Traditional 4.0 companies (undergoing digital transformation)
Quarza Inversiones,https://www.quarzainversiones.com/quienes-somos/,4,10,,,,,Healthcare; CDMO; CRO; Health ingredients; Health software/technology,Homecare outside Spain; Education of trades; Technology with clear moat; Industrial services selective; Talent representation/platforms,Products/value-added preferred over services; leads investments in Spain/Portugal; co-invests outside Iberia; can do passive minority,Single-digit to ~€10m EBITDA; defensible positioning; value-added distribution; quality of revenues; healthcare affinity; buy-and-build/coinvestment,Service providers without value add; concentration of customers/suppliers; ESG/reputation risk; commoditization/price pressure; too large ~€23m EBITDA; unclear positioning,Spain; Portugal; co-investments outside Iberia; Germany/UK selective,Majority; Minority; Co-investment,Overview says minimum EBITDA €4-5m. Latest note says comfortable in single-digit EBITDA to about €10m; €23m EBITDA was too large.,2026-02-24,Filled from meeting summary,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,Healthcare; Logistics; Food & Beverage; Industry
HIG Capital,https://www.higcapital.com/,10,30,,,,,Services; Industry; Technology; Generalist,Healthcare selective; Education selective; Carve-outs; Legal/consumer services selective; Petfood,Value-oriented; likes complexity; not typical full-price auction buyer,Carve-outs; complexity; cash generation; good margins; broken auctions; add-on logic for existing portfolio,Full price assets; classic auctions; no complexity; overly expensive healthcare/education; low margins; small companies below current fund size,Spain; Europe,Buyout; Carve-out; Add-on,"Overview had no financial data. Latest note says new European Fund IV targets around €15m EBITDA and generally looks from €10m, ideally close to €15m.",2026-01-22,Filled from meeting summary / inferred range,20250107 - CMI Espana - Meetings summary.docx; pe_funds(1).csv,"Business Services; Chemicals; Consumer/Retail; Healthcare; Industrial; Technology, media and telecommunication"
Nazca Capital,https://www.nazca.es/,,,,,,,Agroindustrial; Business Services; Industrial; Logistics; Retail; Healthcare & Beauty; Marketing digital,,,,,,,,,Original CSV only / needs review,pe_funds(1).csv,Agroindustrial; Business Services; Industrial; Logistics; Retail; Healthcare & Beauty; Marketing digital
